Store,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20
1,1,6,15,57,69,85,75,89,73,75,64,46,31,20,11,6,3,4,2,NA
2,33,64,32,49,95,79,88,57,45,50,61,41,19,9,7,2,1,2,1,NA
3,24,57,66,113,88,56,49,64,73,56,30,24,17,5,5,1,1,1,NA,NA
4,10,39,65,76,67,105,106,90,60,39,26,11,11,15,4,4,2,3,2,NA
5,32,65,20,7,23,85,78,70,70,71,45,52,31,20,22,19,11,6,1,2
6,11,38,36,58,76,62,47,59,79,54,58,39,45,28,17,12,6,1,2,3
7,2,11,26,51,72,90,102,92,76,53,52,39,24,20,12,6,7,1,1,NA
8,11,50,34,26,50,72,68,80,57,50,58,45,33,32,32,15,10,7,4,1
9,1,2,17,66,116,124,113,80,61,45,38,19,16,11,9,3,5,3,1,NA
10,4,3,16,51,104,110,78,77,78,65,42,29,17,21,17,11,7,3,1,1
11,2,8,22,53,100,102,94,78,77,64,47,24,21,13,14,7,4,2,3,NA
12,35,96,120,85,39,47,55,56,60,39,23,15,19,16,11,8,2,3,4,2
13,4,50,71,69,61,56,35,45,51,39,31,25,21,8,13,5,7,3,3,NA
14,23,68,32,78,123,88,96,85,53,26,30,20,3,2,1,1,1,NA,NA,NA
15,1,10,48,118,102,81,68,74,76,53,29,30,17,11,7,3,2,4,1,NA
16,17,38,41,33,52,80,76,82,65,49,45,47,27,26,19,18,5,5,2,1
17,58,54,10,22,94,101,62,51,71,63,27,37,31,20,16,9,4,2,1,NA
18,3,26,66,71,83,87,67,79,84,55,34,17,22,18,12,4,2,2,1,NA
19,1,17,51,54,76,103,67,69,72,77,40,27,21,25,18,4,5,1,2,NA
20,2,15,19,36,23,23,32,43,70,56,76,51,42,35,32,16,12,8,1,3
21,55,101,83,59,76,72,78,57,44,38,20,16,4,13,4,5,1,1,1,NA
22,11,31,61,57,64,58,57,44,50,36,32,25,23,17,11,6,6,3,2,1
23,1,4,14,58,115,92,70,46,76,72,55,31,24,17,16,13,9,10,3,4
24,5,54,158,106,82,91,94,43,34,22,13,11,6,5,2,3,1,NA,NA,NA
25,2,1,3,2,2,15,104,152,120,122,61,64,23,19,3,4,1,2,3,NA
26,1,1,16,58,84,107,79,57,69,89,62,23,19,15,19,18,12,3,1,NA
27,10,133,180,74,77,96,58,31,32,23,4,4,4,1,1,1,1,NA,NA,NA
28,3,11,78,66,121,158,116,71,47,22,18,6,2,1,1,1,NA,NA,NA,NA
29,1,1,15,75,105,106,90,89,82,40,32,19,21,12,14,13,6,2,3,4
30,1,1,2,5,29,65,76,81,66,97,85,56,59,23,21,21,19,8,7,6
31,10,34,64,79,79,83,94,81,65,47,35,22,12,12,6,6,3,2,1,NA
32,12,38,38,22,45,71,63,37,33,48,46,32,28,26,24,16,8,4,3,3
33,2,1,2,33,87,82,97,117,89,75,57,30,20,21,8,4,2,1,2,NA
34,6,48,70,74,82,81,84,81,55,28,30,24,13,21,13,8,9,5,3,NA
35,34,148,138,69,96,85,50,34,23,20,11,8,5,3,3,2,1,NA,NA,NA
36,1,8,18,31,56,57,92,82,71,44,47,26,19,20,16,8,1,1,NA,NA
37,12,27,49,77,38,50,70,79,84,91,48,43,21,17,9,6,4,2,2,2
38,3,22,79,92,53,51,99,100,75,41,27,23,15,16,14,8,9,1,1,1
39,6,58,95,152,71,77,77,53,37,27,29,22,9,9,3,1,2,2,NA,NA
40,1,2,1,6,28,62,87,100,108,87,108,57,38,23,14,2,2,1,NA,NA
41,2,7,20,45,80,76,75,82,64,48,32,22,11,15,7,5,5,1,1,NA
42,8,31,106,138,89,64,80,64,59,27,22,18,11,4,3,1,1,1,2,1
43,1,5,8,48,92,105,86,81,74,73,59,37,24,11,14,6,4,1,1,NA
44,3,14,61,61,99,89,63,62,54,58,46,32,23,20,18,13,5,9,3,2
45,1,5,20,55,63,53,62,84,104,86,69,40,29,22,17,10,6,4,NA,NA
46,1,32,86,88,67,63,68,65,44,23,18,17,10,6,5,3,1,1,NA,NA
47,17,64,89,98,87,52,60,60,68,43,37,18,14,7,9,5,3,3,1,NA
48,7,16,33,39,57,66,85,89,77,68,49,40,40,28,11,11,11,4,3,1
49,1,2,17,50,95,101,92,112,85,47,45,30,21,13,7,2,4,1,3,NA
50,1,4,28,65,76,58,73,94,89,87,38,33,19,25,15,11,6,4,4,NA
51,1,1,19,41,46,66,67,61,66,71,61,32,25,8,10,6,3,6,5,3
52,8,24,33,37,69,67,64,67,62,57,44,23,20,4,6,4,3,1,4,1
53,3,19,38,49,71,87,88,71,84,70,52,21,38,17,11,6,4,4,1,1
54,1,9,40,81,59,58,66,85,111,80,53,30,29,15,12,1,4,1,1,NA
55,12,16,53,44,67,75,85,65,45,48,50,53,26,24,19,16,17,3,9,4
56,1,3,25,30,42,62,66,68,73,73,83,62,46,38,23,17,8,6,2,4
57,1,15,119,213,153,102,57,27,18,10,3,1,1,1,NA,NA,NA,NA,NA,NA
58,25,83,100,89,90,73,43,28,22,10,9,12,5,4,1,2,2,1,NA,NA
59,34,75,9,16,87,123,104,103,63,34,24,31,16,9,3,2,NA,NA,NA,NA
60,21,35,49,51,114,89,69,54,68,54,39,26,21,16,6,6,7,3,2,1
61,2,20,89,122,160,130,93,57,33,8,6,4,1,1,1,1,NA,NA,NA,NA
62,2,4,22,67,26,17,28,84,89,79,83,73,29,38,30,23,19,10,7,NA
63,13,25,54,62,57,56,81,89,97,65,45,28,15,17,4,10,9,3,3,2
64,9,18,56,82,82,92,86,87,81,49,29,15,20,8,7,4,3,2,NA,NA
65,27,65,44,71,99,70,72,91,61,43,31,17,17,12,4,2,3,1,1,NA
66,10,29,53,64,70,112,97,89,65,39,47,17,14,10,6,5,1,NA,NA,NA
67,3,14,57,72,116,80,54,62,67,43,39,35,27,23,12,11,8,2,2,1
68,1,2,35,86,170,158,113,76,34,25,14,5,3,6,4,1,1,1,NA,NA
69,2,10,66,122,122,106,80,80,56,32,22,18,8,4,3,1,NA,NA,NA,NA
70,3,20,60,104,83,65,71,72,57,56,24,26,16,17,15,17,11,9,5,2
71,4,6,43,105,119,78,29,46,49,62,40,39,30,19,18,14,12,7,3,7
72,31,67,88,101,48,75,56,35,26,22,16,12,12,6,2,1,1,NA,NA,NA
73,13,41,42,20,9,25,57,81,87,71,71,61,34,33,29,22,19,11,6,3
74,5,9,22,78,131,82,82,65,58,43,34,31,23,17,18,10,5,9,2,3
75,1,17,44,80,92,125,121,88,50,42,26,20,8,9,4,4,3,1,NA,NA
76,15,32,50,85,78,80,67,45,38,23,16,13,12,13,12,9,5,2,1,3
77,1,1,18,76,89,92,96,127,90,40,22,34,24,11,6,2,2,1,NA,NA
78,4,8,36,34,95,83,79,47,61,83,60,32,25,26,17,12,13,9,3,4
79,11,62,113,102,66,39,56,54,49,39,27,20,20,19,18,11,11,6,3,2
80,1,1,9,41,59,69,61,67,100,97,90,42,28,23,17,14,9,2,NA,NA
81,2,1,13,17,44,65,60,71,66,50,42,49,48,26,18,14,5,3,4,NA
82,2,19,53,79,109,78,56,48,92,64,46,30,16,18,13,4,1,1,1,NA
83,1,1,2,4,11,33,78,93,95,87,63,60,51,40,41,22,18,12,8,10
84,2,1,10,57,128,113,80,64,58,56,42,25,29,23,13,15,5,6,2,1
85,8,37,162,137,126,117,73,45,31,16,6,16,18,29,18,13,13,9,4,2
86,1,2,3,9,50,196,93,70,76,81,54,32,27,23,8,2,1,1,NA,NA
87,12,48,38,15,20,44,78,76,104,77,65,46,28,15,25,17,12,8,3,4
88,60,55,8,2,25,120,93,60,79,75,39,36,29,19,17,9,2,2,1,NA
89,6,24,23,41,45,57,65,67,62,48,40,34,25,18,13,14,8,5,2,1
90,1,1,11,29,100,149,104,83,91,36,40,29,17,20,10,5,1,2,NA,NA
91,2,6,50,61,75,95,89,113,60,49,36,33,19,15,13,2,4,4,2,1
92,1,1,14,53,81,88,85,62,82,78,49,39,21,19,19,16,9,5,4,4
93,30,61,31,35,96,74,74,81,74,61,37,41,12,13,6,3,1,NA,NA,NA
94,23,145,137,80,55,96,64,30,24,26,24,16,6,1,2,1,NA,NA,NA,NA
95,2,20,35,50,46,67,77,79,62,61,47,41,38,26,20,22,15,10,10,3
96,42,74,7,9,81,133,74,66,63,50,34,37,24,15,16,4,1,1,NA,NA
97,4,49,54,41,75,91,52,47,65,71,53,36,23,11,22,13,14,6,3,1
98,7,35,62,85,80,92,77,90,60,43,32,20,12,13,11,5,1,1,2,2
99,1,2,18,58,77,74,70,75,61,49,42,28,22,8,6,3,2,1,1,NA
100,6,52,117,161,120,69,31,15,7,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA
101,10,45,59,87,68,64,61,59,69,62,31,36,21,17,13,15,8,3,2,5
102,2,1,3,41,160,124,92,87,65,55,31,23,26,7,2,1,1,1,NA,NA
103,49,194,213,88,28,5,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,4,8,39,56,70,76,91,81,66,42,70,52,34,22,9,5,5,2,1,2
105,68,133,221,154,77,38,9,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,94,146,241,157,69,14,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,6,11,39,63,59,86,76,70,80,66,42,30,17,21,17,14,15,11,10,2
108,2,4,8,31,57,78,80,71,63,59,45,32,16,12,7,16,9,5,3,NA
109,10,34,82,96,85,84,60,60,69,41,23,26,23,14,10,11,2,3,2,NA
110,4,20,32,52,60,93,114,88,89,53,56,24,18,13,9,3,5,2,NA,NA
111,3,5,42,76,75,76,104,80,95,58,42,28,19,16,6,3,1,1,1,1
112,1,3,9,26,61,82,103,122,91,79,44,30,31,19,10,11,3,5,2,3
113,11,28,23,50,65,81,77,69,52,46,33,17,16,13,5,9,1,2,NA,NA
114,2,23,55,82,82,85,79,84,68,61,32,25,13,25,7,8,2,1,1,NA
115,1,1,4,20,42,65,64,80,59,60,62,42,40,22,13,12,6,2,2,1
116,6,23,83,82,81,85,78,82,63,39,28,21,18,19,10,6,3,5,1,1
117,1,11,33,46,32,30,61,79,78,70,65,62,43,33,25,20,17,11,10,3
118,1,1,11,59,106,75,100,127,79,51,26,20,17,16,16,10,10,5,1,2
119,19,59,93,99,79,82,76,53,43,35,24,24,16,21,8,2,1,1,NA,NA
120,2,50,138,140,99,108,67,43,34,29,12,4,3,1,2,NA,NA,NA,NA,NA
121,13,51,38,13,19,40,67,73,73,71,77,52,47,30,24,18,12,9,2,2
122,4,17,30,34,59,97,150,124,98,71,54,34,23,10,11,7,3,3,1,2
123,78,41,65,187,119,99,55,44,20,4,3,1,2,1,NA,NA,NA,NA,NA,NA
124,5,35,55,43,82,97,103,96,72,66,30,17,12,4,9,1,1,2,NA,NA
125,1,1,2,21,43,77,96,97,72,75,74,47,38,27,25,14,11,5,9,NA
126,7,132,248,186,81,37,11,10,4,1,1,3,4,2,1,1,1,NA,NA,NA
127,19,83,89,41,65,86,73,56,23,19,18,12,5,6,1,1,1,1,NA,NA
128,8,28,77,105,92,95,96,67,54,30,22,18,18,9,6,1,3,2,1,NA
129,6,12,60,90,90,64,56,60,36,45,25,21,12,10,7,2,1,1,NA,NA
130,10,41,78,91,104,91,75,73,53,33,31,21,9,9,2,2,3,3,1,2
131,1,12,40,67,124,112,103,72,67,48,33,14,10,10,10,4,3,NA,NA,NA
132,4,5,22,31,81,71,75,69,67,57,32,29,15,17,10,3,2,4,1,3
133,19,45,24,52,85,76,50,61,77,56,47,43,34,26,14,8,4,4,5,3
134,3,19,25,36,28,25,29,62,87,90,103,61,54,35,29,14,14,12,7,2
135,1,8,59,81,67,66,96,125,81,64,29,21,16,9,3,2,1,1,2,NA
136,4,13,26,81,91,87,73,45,45,29,35,21,12,9,6,4,5,3,3,6
137,1,1,3,6,20,98,116,83,78,65,52,33,22,12,5,3,NA,NA,NA,NA
138,24,78,19,2,11,73,102,96,69,68,62,39,30,24,17,11,3,1,1,1
139,2,9,34,50,47,82,74,61,51,58,46,30,24,15,8,1,2,1,3,NA
140,2,1,2,8,33,113,95,102,89,82,61,38,42,25,17,13,5,1,2,1
141,2,21,86,123,85,46,57,60,52,55,35,26,16,22,10,13,11,3,1,4
142,3,5,15,33,43,66,65,98,85,87,68,42,48,24,23,14,7,2,2,NA
143,14,63,99,103,64,67,82,62,38,31,25,22,18,9,17,10,3,1,1,1
144,2,1,1,2,9,31,73,92,59,71,74,70,42,32,14,15,7,3,3,NA
145,2,1,12,74,80,84,69,36,51,43,42,26,23,22,11,4,1,3,NA,NA
146,9,30,105,135,93,71,98,65,39,21,27,16,9,3,5,1,2,1,NA,NA
147,1,1,10,45,79,75,61,100,109,70,45,34,18,20,17,18,19,4,2,2
148,5,12,34,79,95,98,79,68,71,50,37,22,28,20,16,10,5,3,2,1
149,1,2,13,45,93,88,60,52,54,57,47,37,14,13,10,6,4,2,NA,NA
150,1,11,35,66,78,90,84,91,76,52,36,26,25,21,16,7,5,10,5,NA
151,1,1,1,21,114,127,97,85,95,71,37,23,20,19,11,3,3,2,NA,NA
152,1,3,7,69,42,59,118,69,37,54,55,45,47,36,24,28,14,13,6,3
153,13,33,72,51,105,72,43,34,43,54,51,55,22,27,21,9,11,8,3,3
154,2,2,10,44,87,112,90,106,68,55,43,28,13,20,16,20,6,7,1,2
155,2,9,42,72,64,54,70,96,64,40,29,27,11,8,4,2,2,1,2,NA
156,32,56,29,8,29,90,75,49,55,46,41,55,46,35,21,23,18,10,9,6
157,1,1,3,26,80,127,94,79,65,65,52,41,26,24,14,14,12,4,2,NA
158,5,22,42,61,64,83,80,96,80,75,51,34,11,10,4,5,3,1,1,2
159,5,29,58,81,82,66,48,49,51,35,25,10,16,12,14,4,9,3,1,1
160,4,22,57,73,100,72,57,59,59,44,65,28,23,24,19,12,10,2,1,1
161,1,1,1,4,32,76,113,123,102,93,63,34,42,22,13,7,3,NA,NA,NA
162,13,76,81,83,99,96,87,75,32,28,17,21,8,10,2,2,1,1,NA,NA
163,5,22,91,127,122,113,75,42,41,24,28,18,10,1,7,3,1,3,2,NA
164,11,64,90,95,66,56,64,45,27,21,24,18,8,3,4,1,1,1,NA,NA
165,7,24,37,61,76,65,62,43,47,39,39,38,24,12,16,4,1,1,2,NA
166,7,27,55,75,96,82,86,69,72,47,30,31,11,12,12,11,4,2,1,NA
167,25,55,35,31,92,101,46,52,49,61,38,39,36,29,17,12,8,4,1,NA
168,1,4,29,59,33,50,105,80,47,55,72,55,36,23,21,16,17,13,6,6
169,5,74,99,146,163,115,59,25,19,8,1,1,1,1,NA,NA,NA,NA,NA,NA
170,1,1,13,26,57,112,110,87,81,72,50,42,25,28,9,8,4,1,3,NA
171,7,42,81,104,92,48,59,64,63,31,34,18,23,11,10,15,15,4,8,1
172,10,30,59,86,86,104,74,43,34,20,21,6,7,3,2,5,3,1,1,3
173,13,60,105,93,67,63,69,76,52,27,27,23,31,11,10,5,2,1,NA,NA
174,3,10,18,35,48,62,61,65,71,61,44,32,33,15,12,10,4,6,3,5
175,1,7,37,107,84,97,105,120,64,40,37,16,12,6,2,NA,NA,NA,NA,NA
176,2,21,61,38,57,105,83,85,77,57,29,35,16,16,11,17,10,5,2,3
177,27,61,34,6,8,29,82,95,86,79,70,38,29,22,22,20,10,7,3,3
178,5,23,75,100,85,63,47,56,73,65,28,24,13,18,21,14,14,2,3,2
179,1,1,18,77,124,126,87,86,47,38,37,36,21,13,9,5,1,2,1,NA
180,14,37,84,69,58,82,83,86,64,37,27,27,22,13,9,7,5,5,4,2
181,20,56,36,59,96,56,31,65,45,41,29,21,17,11,9,2,2,1,1,1
182,1,1,3,15,39,77,96,80,74,96,82,49,34,26,20,16,11,6,2,4
183,1,33,92,156,147,89,31,22,8,1,2,1,1,1,1,1,NA,NA,NA,NA
184,1,1,6,25,110,133,83,85,93,65,32,30,17,18,15,6,4,1,1,2
185,10,35,80,67,87,64,77,66,57,51,40,27,22,20,10,12,3,4,2,1
186,5,11,60,67,86,70,59,68,43,43,28,18,14,19,4,1,1,1,NA,NA
187,12,43,39,41,60,58,79,77,68,53,38,32,44,28,19,23,12,6,1,2
188,9,41,92,75,57,75,66,75,75,35,34,16,13,20,16,12,10,5,1,3
189,1,3,1,1,12,52,116,94,82,73,93,74,37,40,21,20,7,2,1,NA
190,2,8,24,74,87,72,72,52,41,43,30,24,22,16,15,9,4,2,1,NA
191,2,3,12,38,35,51,55,45,72,57,59,47,31,27,20,25,8,6,3,2
192,4,8,29,62,72,61,63,55,63,39,18,32,12,23,19,17,13,3,5,NA
193,2,2,8,65,115,128,77,63,36,31,35,45,41,32,25,7,10,5,1,NA
194,15,38,57,93,104,108,98,72,50,31,18,18,6,10,4,2,2,1,1,NA
195,3,2,1,3,17,60,84,80,72,101,88,58,41,42,25,21,15,10,5,2
196,21,56,78,100,102,81,106,61,32,22,22,13,16,13,6,2,1,1,NA,NA
197,7,37,73,105,82,46,51,45,50,43,59,40,33,17,15,14,8,5,2,3
198,26,71,33,77,112,64,50,60,61,43,20,30,22,25,18,13,2,5,1,NA
199,3,4,19,66,77,75,97,90,89,58,45,34,17,18,19,9,4,3,3,NA
200,1,1,2,2,20,65,127,123,93,95,73,52,30,23,10,7,3,3,NA,NA
201,3,3,2,12,38,53,51,77,95,87,94,88,50,28,19,12,7,4,5,2
202,4,5,28,46,92,80,76,81,81,73,51,28,25,21,21,8,7,2,2,1
203,9,54,115,119,114,76,52,53,38,42,21,21,3,6,6,2,1,1,NA,NA
204,1,5,14,34,73,68,76,62,58,56,33,37,18,22,17,13,6,3,1,1
205,26,82,114,93,65,62,66,59,47,21,25,21,15,16,7,7,4,2,2,1
206,7,29,59,59,102,94,105,72,72,55,31,19,8,8,1,3,2,2,1,1
207,1,2,27,85,154,73,66,68,61,42,36,34,18,11,19,17,10,6,4,1
208,13,25,74,70,75,82,106,96,66,50,38,16,9,4,5,2,2,2,NA,NA
209,6,22,32,21,9,15,62,107,115,143,99,73,50,28,11,17,10,7,2,1
210,2,2,22,68,81,79,72,60,66,69,67,52,36,19,13,9,8,1,2,2
211,14,43,45,65,95,69,75,82,55,51,29,31,25,18,19,9,6,2,1,1
212,5,17,40,65,90,80,70,62,53,58,58,50,28,21,11,12,7,4,3,1
213,1,13,71,141,137,106,82,66,48,21,14,13,11,3,1,1,1,NA,NA,NA
214,3,1,3,4,41,93,64,76,108,112,76,52,29,32,18,9,4,1,3,1
215,2,11,53,67,55,37,64,70,53,48,50,26,11,16,17,4,6,2,5,NA
216,3,3,31,88,104,91,86,81,80,34,26,25,24,19,13,6,6,3,3,1
217,12,66,97,89,96,97,76,59,44,28,20,17,12,6,5,5,4,1,1,NA
218,14,24,26,25,9,6,14,32,81,76,72,52,39,45,27,33,12,6,4,1
219,13,17,35,31,26,25,37,58,72,82,84,64,43,33,34,26,25,13,4,8
220,4,55,168,146,96,93,64,46,31,16,5,2,1,NA,NA,NA,NA,NA,NA,NA
221,1,1,26,66,98,113,89,104,68,53,34,31,20,16,8,3,2,1,1,NA
222,17,47,47,52,83,82,59,80,54,57,44,29,25,17,16,9,6,5,2,4
223,13,64,140,107,66,81,80,54,34,30,19,19,8,10,3,1,2,1,1,NA
224,4,27,72,114,97,112,103,63,50,22,26,14,12,2,4,2,1,1,1,1
225,2,2,24,82,104,77,76,66,76,70,39,24,31,20,17,9,10,2,2,NA
226,4,32,70,97,86,75,62,73,47,54,46,27,13,18,13,7,4,3,1,NA
227,1,2,3,94,204,174,142,62,27,5,2,3,NA,NA,NA,NA,NA,NA,NA,NA
228,1,2,10,27,59,79,76,68,99,92,72,46,30,26,18,7,12,5,1,NA
229,1,1,2,24,114,121,100,91,82,71,49,28,21,11,5,6,1,1,1,NA
230,14,43,76,90,83,103,97,57,43,33,25,22,13,10,10,4,4,2,1,5
231,2,3,12,53,73,49,57,64,71,68,50,29,23,18,14,5,2,3,2,NA
232,1,4,38,179,197,141,103,35,14,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
233,1,1,8,36,73,81,87,75,55,64,53,37,47,26,23,22,18,13,5,7
234,9,82,104,97,73,55,79,67,39,25,15,22,15,16,11,11,5,2,1,2
235,37,100,102,84,60,59,74,63,47,35,16,17,17,10,7,2,1,1,NA,NA
236,18,57,30,19,36,68,86,64,56,79,64,33,30,24,23,23,11,9,4,1
237,4,4,20,27,51,56,70,87,74,80,62,61,39,39,22,14,4,7,8,6
238,1,1,3,10,57,122,131,60,100,84,45,41,24,20,9,6,3,NA,NA,NA
239,3,3,21,57,91,85,86,108,88,60,44,24,31,13,6,5,1,3,1,NA
240,3,10,28,46,82,79,82,66,78,59,59,48,29,16,23,15,3,5,2,2
241,1,1,7,29,66,91,101,102,90,83,53,28,25,30,9,8,3,1,2,NA
242,27,73,106,106,75,55,71,63,45,25,11,19,17,11,8,9,4,5,1,1
243,20,74,85,75,50,32,47,45,27,30,22,24,20,16,13,12,4,1,2,NA
244,13,123,123,89,117,89,76,27,26,20,9,11,3,1,1,1,1,NA,NA,NA
245,1,2,13,35,78,101,132,103,73,72,37,34,19,16,7,5,1,1,2,NA
246,3,20,77,98,85,73,66,62,73,56,38,26,14,19,7,6,4,4,3,1
247,1,9,39,105,98,77,68,72,80,52,26,20,23,16,23,10,6,4,3,NA
248,3,3,38,84,119,96,80,84,63,40,36,23,17,17,11,8,5,2,4,2
249,10,50,92,107,84,83,87,47,65,31,25,15,15,12,5,4,1,1,1,NA
250,1,13,49,111,102,83,79,93,63,28,30,28,21,13,10,6,1,1,NA,NA
251,7,25,55,88,91,72,65,78,52,48,29,33,25,21,16,15,3,3,2,2
252,1,4,32,82,100,86,62,79,70,56,42,30,17,13,16,14,13,4,6,3
253,6,41,99,119,82,57,58,59,42,32,31,31,10,14,9,15,8,10,3,4
254,1,5,28,73,75,58,76,90,100,93,53,33,21,10,7,3,1,1,2,NA
255,1,2,28,80,78,83,95,104,81,66,39,29,17,10,9,5,3,NA,NA,NA
256,2,1,5,28,71,101,98,96,94,73,41,31,31,20,15,12,3,2,3,NA
257,11,20,50,34,28,69,58,72,86,74,74,57,39,25,14,5,10,5,2,2
258,1,2,6,22,75,83,74,82,81,52,47,22,15,16,8,8,3,1,NA,NA
259,1,1,1,3,22,63,70,144,192,155,87,49,34,19,15,7,4,3,NA,NA
260,1,4,18,27,60,71,98,84,105,81,55,38,25,24,16,12,7,5,3,1
261,37,100,139,93,21,39,71,71,52,30,22,7,20,14,7,4,1,1,1,NA
262,6,44,131,132,158,126,83,33,28,12,21,28,25,22,7,7,7,4,2,4
263,6,13,33,57,69,62,50,52,48,44,35,32,28,20,19,10,8,5,6,1
264,30,180,171,148,86,44,23,22,4,1,1,1,2,NA,NA,NA,NA,NA,NA,NA
265,4,37,59,25,43,109,76,58,74,50,49,37,28,23,15,18,6,11,5,3
266,20,36,33,35,54,93,96,85,90,50,46,26,20,15,13,8,6,3,2,NA
267,12,45,54,65,99,89,97,84,59,41,24,27,15,8,7,1,2,2,2,2
268,18,45,81,105,79,45,44,43,60,53,37,36,31,16,15,11,9,3,1,3
269,2,5,17,103,155,81,53,68,63,53,29,25,19,15,15,12,8,3,3,1
270,4,28,57,69,80,88,81,91,52,54,40,16,14,18,16,12,4,2,6,3
271,35,81,5,9,96,132,57,67,75,52,38,25,28,19,7,1,1,1,2,NA
272,33,71,51,116,89,53,48,94,58,37,27,23,15,7,7,1,1,1,NA,NA
273,4,25,96,145,85,64,71,76,40,25,22,21,17,16,6,7,5,2,1,2
274,9,18,36,197,207,136,67,23,11,19,17,29,28,26,22,13,4,2,4,2
275,14,23,31,39,51,72,68,51,44,51,47,32,24,15,13,8,6,3,2,4
276,18,30,45,29,14,32,60,90,66,70,69,62,45,32,19,26,17,5,1,1
277,4,27,63,82,75,67,48,46,41,43,32,28,16,9,8,3,2,2,2,NA
278,12,27,48,60,79,78,71,92,74,54,27,31,20,20,19,10,7,2,3,1
279,12,50,88,95,86,80,71,40,28,14,15,5,4,6,2,2,1,NA,NA,NA
